index;age;gender;country;diploma;job;years_writting_code;most_recommended_langage;plateform_used_for_datascience;tpu_used;years_of_use_of_ml;company_size;how_many_ppl_work_on_ml;do_your_company_use_ml;salary;money_spent_in_ml;bigdata_product_used;bi_tool_used;tool_you_use_to_analyse_data
639;30-34;Man;Brazil;Bachelor’s degree;Data Analyst;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;2-3 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);60,000-69,999;$100,000 or more ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
640;35-39;Man;Colombia;Master’s degree;Data Analyst;5-10 years;R;A personal computer or laptop;Never;5-10 years;0-49 employees;1-2;We use ML methods for generating insights (but do not put working models into production);$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
641;25-29;Woman;Malaysia;Master’s degree;Machine Learning Engineer;5-10 years;Python;A personal computer or laptop;2-5 times;2-3 years;50-249 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);10,000-14,999;$100,000 or more ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
642;30-34;Man;India;Bachelor’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;0;I do not know;$0-999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
643;30-34;Woman;United States of America;Doctoral degree;Data Scientist;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;4-5 years;10,000 or more employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);100,000-124,999;$100-$999;;;Local development environments (RStudio, JupyterLab, etc.)
644;22-24;Woman;Sri Lanka;Master’s degree;Data Analyst;3-5 years;R;A personal computer or laptop;Never;2-3 years;0-49 employees;5-9;I do not know;3,000-3,999;$1-$99;;;Advanced statistical software (SPSS, SAS, etc.)
645;35-39;Man;United States of America;Master’s degree;Data Scientist;10-20 years;Python;A personal computer or laptop;2-5 times;5-10 years;1000-9,999 employees;1-2;We use ML methods for generating insights (but do not put working models into production);80,000-89,999;$0 ($USD);;;Advanced statistical software (SPSS, SAS, etc.)
646;30-34;Man;Argentina;Doctoral degree;Machine Learning Engineer;10-20 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;5-10 years;50-249 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);20,000-24,999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
647;25-29;Man;Italy;Master’s degree;Data Analyst;3-5 years;C;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;1-2 years;250-999 employees;10-14;We have well established ML methods (i.e., models in production for more than 2 years);25,000-29,999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
648;22-24;Man;Brazil;Master’s degree;Data Scientist;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We use ML methods for generating insights (but do not put working models into production);$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
649;22-24;Man;Indonesia;Bachelor’s degree;Machine Learning Engineer;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
650;18-21;Woman;India;Bachelor’s degree;Data Engineer;3-5 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;0;We are exploring ML methods (and may one day put a model into production);$0-999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
651;22-24;Man;China;Master’s degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;0;We use ML methods for generating insights (but do not put working models into production);$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
652;40-44;Man;United States of America;Master’s degree;Data Analyst;3-5 years;SQL;A personal computer or laptop;2-5 times;2-3 years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);40,000-49,999;$1-$99;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
653;35-39;Man;Nigeria;Doctoral degree;Data Analyst;3-5 years;R;None;Never;Under 1 year;50-249 employees;1-2;No (we do not use ML methods);7,500-9,999;$100-$999;MySQL ;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
654;40-44;Man;Canada;Bachelor’s degree;Data Scientist;10-20 years;SQL;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;5-10 years;1000-9,999 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);90,000-99,999;$100,000 or more ($USD);Other;Tableau;Other
655;45-49;Man;United States of America;Master’s degree;Data Analyst;10-20 years;Python;A personal computer or laptop;Never;1-2 years;1000-9,999 employees;3-4;We use ML methods for generating insights (but do not put working models into production);125,000-149,999;$1000-$9,999;Google Cloud BigQuery ;Google Data Studio;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
656;55-59;Man;Israel;Doctoral degree;Data Scientist;20+ years;None;Other;More than 25 times;20 or more years;0-49 employees;20+;No (we do not use ML methods);> $500,000;$100,000 or more ($USD);;;Advanced statistical software (SPSS, SAS, etc.)
657;18-21;Man;Other;Professional degree;Data Scientist;I have never written code;;;;;0-49 employees;1-2;No (we do not use ML methods);$0-999;$0 ($USD);;;
658;22-24;Man;Brazil;Bachelor’s degree;Data Scientist;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Once;1-2 years;0-49 employees;15-19;We recently started using ML methods (i.e., models in production for less than 2 years);1,000-1,999;$100-$999;Microsoft SQL Server ;Microsoft Power BI;Local development environments (RStudio, JupyterLab, etc.)
659;30-34;Woman;Belarus;Master’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;4-5 years;0-49 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);20,000-24,999;$100-$999;;;Other
660;40-44;Man;United Kingdom of Great Britain and Northern Ireland;Some college/university study without earning a bachelor’s degree;Data Scientist;10-20 years;SQL;A personal computer or laptop;Never;1-2 years;0-49 employees;1-2;We use ML methods for generating insights (but do not put working models into production);20,000-24,999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
661;25-29;Man;India;Bachelor’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;6-25 times;1-2 years;250-999 employees;10-14;We recently started using ML methods (i.e., models in production for less than 2 years);1,000-1,999;$100-$999;Microsoft SQL Server ;Microsoft Power BI;Local development environments (RStudio, JupyterLab, etc.)
662;55-59;Woman;United States of America;Master’s degree;Data Analyst;10-20 years;None;A personal computer or laptop;Never;I do not use machine learning methods;250-999 employees;3-4;I do not know;150,000-199,999;$0 ($USD);;;
663;45-49;Prefer not to say;United States of America;Master’s degree;Data Engineer;10-20 years;Python;A personal computer or laptop;Never;4-5 years;1000-9,999 employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);200,000-249,999;$1-$99;PostgresSQL ;;Local development environments (RStudio, JupyterLab, etc.)
664;30-34;Prefer not to say;Netherlands;Doctoral degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;3-4 years;10,000 or more employees;20+;We use ML methods for generating insights (but do not put working models into production);40,000-49,999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
665;30-34;Man;Brazil;Professional degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;Under 1 year;1000-9,999 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);25,000-29,999;$0 ($USD);;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
666;40-44;Man;India;Master’s degree;Data Scientist;20+ years;Python;;;;;;;;;;;
667;25-29;Prefer not to say;Other;I prefer not to answer;Data Engineer;< 1 years;Python;;;;;;;;;;;
668;18-21;Man;India;Bachelor’s degree;Machine Learning Engineer;1-2 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;1-2 years;0-49 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);10,000-14,999;$1000-$9,999;Google Cloud Firestore ;;Local development environments (RStudio, JupyterLab, etc.)
669;35-39;Man;Brazil;Doctoral degree;Data Scientist;10-20 years;Julia;A personal computer or laptop;Never;5-10 years;10,000 or more employees;3-4;We use ML methods for generating insights (but do not put working models into production);90,000-99,999;$10,000-$99,999;;Tableau;Local development environments (RStudio, JupyterLab, etc.)
670;25-29;Woman;India;Master’s degree;Machine Learning Engineer;1-2 years;Python;A personal computer or laptop;Never;2-3 years;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);2,000-2,999;$100-$999;MongoDB ;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
671;25-29;Man;India;Professional degree;Machine Learning Engineer;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$100-$999;;;Local development environments (RStudio, JupyterLab, etc.)
672;25-29;Man;Spain;Master’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Never;5-10 years;10,000 or more employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);30,000-39,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
673;18-21;Man;Other;Master’s degree;Machine Learning Engineer;1-2 years;C++;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);$0-999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
674;35-39;Man;Singapore;Master’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Never;4-5 years;1000-9,999 employees;3-4;We are exploring ML methods (and may one day put a model into production);125,000-149,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
675;30-34;Woman;Nigeria;Master’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;No (we do not use ML methods);1,000-1,999;$1-$99;;;Local development environments (RStudio, JupyterLab, etc.)
676;25-29;Woman;United Kingdom of Great Britain and Northern Ireland;Bachelor’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;50-249 employees;5-9;We use ML methods for generating insights (but do not put working models into production);40,000-49,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
677;22-24;Woman;Turkey;Master’s degree;Machine Learning Engineer;1-2 years;;;;;;;;;;;;
678;35-39;Man;United States of America;Doctoral degree;Machine Learning Engineer;5-10 years;Python;A personal computer or laptop;Never;5-10 years;250-999 employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);150,000-199,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
679;35-39;Man;Italy;Bachelor’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;1-2 years;1000-9,999 employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);30,000-39,999;$100-$999;;Tableau;Local development environments (RStudio, JupyterLab, etc.)
680;18-21;Man;India;Some college/university study without earning a bachelor’s degree;Machine Learning Engineer;1-2 years;Python;A personal computer or laptop;More than 25 times;1-2 years;0-49 employees;0;We are exploring ML methods (and may one day put a model into production);5,000-7,499;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
681;45-49;Man;United States of America;Master’s degree;Data Analyst;10-20 years;R;A personal computer or laptop;More than 25 times;3-4 years;10,000 or more employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);90,000-99,999;$10,000-$99,999;Microsoft SQL Server ;Tableau;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
682;22-24;Man;India;Bachelor’s degree;Machine Learning Engineer;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;0;No (we do not use ML methods);$0-999;$100-$999;;;Local development environments (RStudio, JupyterLab, etc.)
683;40-44;Man;France;Master’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;Under 1 year;1000-9,999 employees;1-2;We are exploring ML methods (and may one day put a model into production);40,000-49,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
684;35-39;Man;Other;Master’s degree;Data Scientist;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;4-5 years;0-49 employees;1-2;We use ML methods for generating insights (but do not put working models into production);50,000-59,999;$1-$99;MySQL ;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
